"","2019-12-29","2019-12-31","2020-01-01","2020-01-03","2020-01-05","2020-01-07","2020-01-09","2020-01-12","2020-01-15","2020-01-19","2020-01-21","2020-01-24","2020-01-26","2020-01-28"
"B-1-72",8605.56918181818,0,8605.56918181818,56.026,8605.56918181818,1496.34,3219.8,4407.67,3734.69,7585.065,4666.07,16822.4,23408.5,29264.7
"B-1-61",9568.50654545455,0,9568.50654545455,0,9568.50654545455,0,116.742,1747.34,1559.865,5680.475,11096.4,19252.3,25615.15,40185.3
"B-1-62",9153.18531818182,0,9153.18531818182,0,9153.18531818182,1012.6685,2062.08,4542.95,5712.64,10420.5,12218.5,20164.55,21316.9,23234.25
"B-1-63",14029.297,0,14029.297,299.692,14029.297,3066.515,7054.65,10167.55,9569.26,16498.25,18574.1,27161.85,27961.55,33968.85
"B-1-64",2185.28845454545,0,2185.28845454545,0,2185.28845454545,0,0,0,185.038,1138.02,2969.47,4473.6,5733.975,9538.07
"B-1-65",6796.10827272727,0,6796.10827272727,0,6796.10827272727,229.209,1408.8,3541.625,3209.05,5608.84,4908.167,14344.4,18803.35,22703.75
"B-1-66",1633.98127272727,0,1633.98127272727,0,1633.98127272727,0,0,0,0,310.454,4535.83,2932.95,3897.29,6297.27
"B-1-67",980.790772727273,0,980.790772727273,0,980.790772727273,0,0,157.987,132.886,509.26,930.2155,2034.59,2720.975,4302.785
"B-1-68",8762.29068181818,0,8762.29068181818,0,8762.29068181818,1153.43,2362.15,4387.905,3854.66,9291.345,6351.5575,18025.85,23204.7,27753.6
"B-1-69",8570.27009090909,0,8570.27009090909,0,8570.27009090909,244.646,1452.27,3262.84,4269.355,8555.31,4157.7,18022,24778.6,29530.25
"B-1-82",7659.01204545455,0,7659.01204545455,0,7659.01204545455,66.8735,769.994,3867.54,3653.715,7530.975,9392.285,15296.8,20280.8,23390.15
"B-1-83",7216.27536363636,0,7216.27536363636,0,7216.27536363636,163.469,961.055,3142.96,2488.08,5854.68,13249.385,11613.9,16911.7,24993.8
"B-1-84",20010.1686818182,0,20010.1686818182,0,20010.1686818182,749.1375,2219.36,5499.75,5903.47,10873.9,13487.038,48879,59073.3,73426.9
