"","TS","Temp","RH","VPD","SR","WS"
"202","2019-12-30 02:15:00","18.51000","74.25000","0.54864710","  0.3350","2.821000"
"203","2019-12-30 02:30:00","18.35000","74.38000","0.54043156","  0.3350","2.073000"
"204","2019-12-30 02:45:00","18.23000","75.96000","0.50329980","  0.4470","1.968000"
"205","2019-12-30 03:00:00","18.19000","75.55000","0.51059989","  0.3350","2.203000"
"206","2019-12-30 03:15:00","18.06000","76.83000","0.47993407","  0.0000","1.218000"
"207","2019-12-30 03:30:00","18.04000","77.14000","0.47291803","  0.3350","1.831000"
"208","2019-12-30 03:45:00","17.97000","78.57000","0.44138795","  0.0000","2.586000"
"209","2019-12-30 04:00:00","18.01000","78.74000","0.43898925","  0.2240","3.554000"
"210","2019-12-30 04:15:00","17.93000","79.57000","0.41973386","  0.0000","3.147000"
"211","2019-12-30 04:30:00","17.81000","80.30000","0.40169073","  0.2240","1.543000"
"212","2019-12-30 04:45:00","17.72000","81.10000","0.38319984","  0.3350","1.543000"
"213","2019-12-30 05:00:00","17.53000","82.10000","0.35860236","  0.3350","1.153000"
"214","2019-12-30 05:15:00","17.48000","83.10000","0.33750189","  0.2240","2.488000"
"215","2019-12-30 05:30:00","17.44000","83.70000","0.32469846","  0.4470","1.842000"
"216","2019-12-30 05:45:00","17.30000","84.00000","0.31591543","  0.1120","1.627000"
"217","2019-12-30 06:00:00","17.11000","84.60000","0.30043532","  0.0000","0.954000"
"218","2019-12-30 06:15:00","17.09000","84.70000","0.29810668","  0.0000","0.828000"
"219","2019-12-30 06:30:00","17.11000","85.20000","0.28873004","  0.1120","1.818000"
"220","2019-12-30 06:45:00","17.27000","84.20000","0.31137530","  0.0000","1.101000"
"221","2019-12-30 07:00:00","17.24000","85.50000","0.28521417","  0.0000","1.710000"
"222","2019-12-30 07:15:00","17.18000","86.40000","0.26649769","  0.2240","2.048000"
"223","2019-12-30 07:30:00","17.14000","86.40000","0.26582388","  0.4470","1.891000"
"224","2019-12-30 07:45:00","17.12000","87.20000","0.24987062","  5.9270","2.572000"
"225","2019-12-30 08:00:00","17.06000","88.70000","0.21975237","  5.7030","1.331000"
"226","2019-12-30 08:15:00","17.28000","90.60000","0.18536577"," 12.6400","3.203000"
"227","2019-12-30 08:30:00","17.48000","90.60000","0.18772294"," 25.0500","1.485000"
"228","2019-12-30 08:45:00","17.77000","91.00000","0.18305182"," 38.6900","3.013000"
"229","2019-12-30 09:00:00","18.20000","90.40000","0.20060684"," 45.0600","2.527000"
"230","2019-12-30 09:15:00","18.60000","89.10000","0.23355504"," 58.8100","1.860000"
"231","2019-12-30 09:30:00","19.09000","88.00000","0.26511590"," 71.2200","2.187000"
"232","2019-12-30 09:45:00","19.67000","85.70000","0.32753537"," 92.9000","3.445000"
"233","2019-12-30 10:00:00","20.10000","83.60000","0.38577680","105.1000","4.506000"
"234","2019-12-30 10:15:00","20.61000","81.80000","0.44181076","120.0000","2.617000"
"235","2019-12-30 10:30:00","21.16000","78.98000","0.52781550","137.5000","3.579000"
"236","2019-12-30 10:45:00","21.69000","77.50000","0.58361103","156.5000","3.190000"
"237","2019-12-30 11:00:00","22.49000","75.21000","0.67511672","156.7000","2.767000"
"238","2019-12-30 11:15:00","22.86000","72.22000","0.77370907","190.2000","1.900379"
"239","2019-12-30 11:30:00","23.55000","72.06000","0.81127409","202.1000","4.070000"
"240","2019-12-30 11:45:00","23.80000","69.57000","0.89696601","209.6000","4.662000"
"241","2019-12-30 12:00:00","24.55000","68.99000","0.95609146","229.5000","4.472000"
"242","2019-12-30 12:15:00","25.29000","64.41000","1.14677887","227.9000","3.358000"
"243","2019-12-30 12:30:00","25.59000","63.01000","1.21330629"," 61.7472","3.820000"
"244","2019-12-30 12:45:00","26.15000","62.46000","1.27283131"," 61.7472","3.358000"
"245","2019-12-30 13:00:00","27.13000","59.67000","1.44857655"," 61.7472","2.901000"
"246","2019-12-30 13:15:00","27.71000","57.83000","1.56692140"," 61.7472","3.884000"
"247","2019-12-30 13:30:00","28.37000","55.41000","1.72172983"," 61.7472","2.692000"
"248","2019-12-30 13:45:00","29.03000","54.48000","1.82612717"," 61.7472","3.726000"
"249","2019-12-30 14:00:00","28.40000","54.42000","1.76302408","161.2000","3.543000"
"250","2019-12-30 14:15:00","28.05000","53.74000","1.75329240","172.3000","2.987000"
"251","2019-12-30 14:30:00","28.03000","53.86000","1.74670973","178.1000","1.725000"
"252","2019-12-30 14:45:00","27.97000","53.37000","1.75910349","134.0000","2.311000"
"253","2019-12-30 15:00:00","27.73000","57.07000","1.59702345","150.1000","3.621000"
"254","2019-12-30 15:15:00","27.05000","61.42000","1.37923606"," 93.9000","2.223000"
"255","2019-12-30 15:30:00","26.65000","63.58000","1.27178457","168.4000","1.847000"
"256","2019-12-30 15:45:00","25.88000","65.45000","1.15290632"," 53.7200","1.530000"
"257","2019-12-30 16:00:00","24.92000","65.50000","1.08744498"," 40.3100","2.958000"
"258","2019-12-30 16:15:00","25.14000","67.60000","1.03472004","136.1000","3.673000"
"259","2019-12-30 16:30:00","25.60000","64.83000","1.15429283"," 62.6500","2.488000"
"260","2019-12-30 16:45:00","24.84000","68.53000","0.98721923"," 41.1000","1.846000"
"261","2019-12-30 17:00:00","24.36000","69.52000","0.92913160"," 34.4000","2.457000"
"262","2019-12-30 17:15:00","24.06000","70.67000","0.87814651"," 20.7700","2.608000"
"263","2019-12-30 17:30:00","23.72000","69.07000","0.90732904"," 20.2100","2.543000"
"264","2019-12-30 17:45:00","23.52000","70.40000","0.85792265","  7.7070","2.029000"
"265","2019-12-30 18:00:00","23.24000","71.44000","0.81391919","  1.3400","1.514000"
"266","2019-12-30 18:15:00","23.05000","72.96000","0.76180636","  5.2500","1.869000"
"267","2019-12-30 18:30:00","22.95000","72.97000","0.75693267","  7.1500","2.166000"
"268","2019-12-30 18:45:00","22.79000","72.85000","0.75296383","  1.5640","2.078000"
"269","2019-12-30 19:00:00","22.58000","74.79000","0.69031559","  1.2290","3.020000"
"270","2019-12-30 19:15:00","22.34000","75.81000","0.65280035","  0.7820","2.958000"
"271","2019-12-30 19:30:00","22.19000","76.59000","0.62601325","  0.4470","2.768000"
"272","2019-12-30 19:45:00","22.05000","77.43000","0.59842717","  0.4470","2.229000"
"273","2019-12-30 20:00:00","21.89000","79.22000","0.54561852","  0.5590","2.476000"
"274","2019-12-30 20:15:00","21.89000","79.34000","0.54246769","  0.4470","2.506000"
"275","2019-12-30 20:30:00","21.84000","79.15000","0.54578895","  0.4470","4.392000"
"276","2019-12-30 20:45:00","21.71000","80.10000","0.51680259","  0.2230","2.377000"
"277","2019-12-30 21:00:00","21.47000","80.40000","0.50159677","  0.5590","3.776000"
"278","2019-12-30 21:15:00","21.41000","81.50000","0.47171024","  0.6700","2.831000"
"279","2019-12-30 21:30:00","21.43000","81.20000","0.47994692","  0.7820","3.257000"
"280","2019-12-30 21:45:00","21.22000","81.80000","0.45868970","  0.4470","3.415000"
"281","2019-12-30 22:00:00","21.01000","82.50000","0.43540039","  0.4470","2.989000"
"282","2019-12-30 22:15:00","20.84000","83.60000","0.40379149","  0.5590","3.647000"
"283","2019-12-30 22:30:00","20.66000","84.20000","0.38473308","  0.7820","3.373000"
"284","2019-12-30 22:45:00","20.53000","84.90000","0.36475453","  0.8940","3.716000"
"285","2019-12-30 23:00:00","20.50000","84.70000","0.36890276","  0.3350","3.237000"
"286","2019-12-30 23:15:00","20.41000","84.90000","0.36206494","  0.5590","2.363000"
"287","2019-12-30 23:30:00","20.26000","86.20000","0.32784354","  0.4470","2.898000"
"288","2019-12-30 23:45:00","20.28000","86.80000","0.31397712","  0.4470","4.555000"
"289","2019-12-31 00:00:00","20.22000","87.30000","0.30096635","  0.1120","3.412000"
"290","2019-12-31 00:15:00","20.11000","88.00000","0.28245035","  1.0060","2.662000"
"291","2019-12-31 00:30:00","20.12000","89.00000","0.25907299","  0.3350","3.087000"
"292","2019-12-31 00:45:00","20.08000","89.50000","0.24668587","  0.5590","3.559000"
"293","2019-12-31 01:00:00","20.04000","89.80000","0.23904536","  0.7820","2.290000"
"294","2019-12-31 01:15:00","20.06000","90.30000","0.22760895","  0.3350","3.976000"
"295","2019-12-31 01:30:00","19.98000","90.80000","0.21481031","  0.4470","3.275000"
"296","2019-12-31 01:45:00","19.96000","90.70000","0.21687648","  0.2240","1.900379"
"297","2019-12-31 02:00:00","19.88000","91.00000","0.20884305","  0.2240","4.141000"
"298","2019-12-31 02:15:00","19.84000","91.30000","0.20138182","  0.4470","5.418000"
"299","2019-12-31 02:30:00","19.74000","91.20000","0.20243751","  0.2240","4.474000"
"300","2019-12-31 02:45:00","19.68000","91.40000","0.19710159","  0.5590","3.374000"
"301","2019-12-31 03:00:00","19.56000","91.90000","0.18426429","  0.5590","3.160000"
"302","2019-12-31 03:15:00","19.46000","92.40000","0.17181899","  0.2240","3.892000"
"303","2019-12-31 03:30:00","19.53000","92.40000","0.17256805","  0.3350","3.917000"
"304","2019-12-31 03:45:00","19.67000","92.00000","0.18323657","  0.3350","3.425000"
"305","2019-12-31 04:00:00","19.54000","91.60000","0.19085164","  0.2240","4.067000"
"306","2019-12-31 04:15:00","19.45000","91.60000","0.18978719","  0.1120","3.167000"
"307","2019-12-31 04:30:00","19.42000","91.90000","0.18266804","  0.1120","3.722000"
"308","2019-12-31 04:45:00","19.45000","91.70000","0.18752782","  0.2240","3.365000"
"309","2019-12-31 05:00:00","19.55000","91.60000","0.19097024","  0.0000","5.354000"
"310","2019-12-31 05:15:00","19.59000","91.20000","0.20056170","  0.4470","4.222000"
"311","2019-12-31 05:30:00","19.56000","91.60000","0.19108889","  0.1120","3.463000"
"312","2019-12-31 05:45:00","19.59000","91.40000","0.19600348","  0.3350","4.889000"
"313","2019-12-31 06:00:00","19.34000","91.50000","0.19073721","  0.2240","3.734000"
"314","2019-12-31 06:15:00","19.30000","91.50000","0.19026303","  0.2240","4.286000"
"315","2019-12-31 06:30:00","19.19000","91.80000","0.18229500","  0.1120","2.719000"
